City/Town,Clinton/ Gore,Bush/ Quayle,Perot/ Stockdale,Marrou/ Lord,Fulani/ Munoz,Phillips & Knight Phillips,Hagelin Tompkins,LaRouche/ Bevel,Brisben/ Garson,Dodge/ Ormsby,All Others,No Preference,Blanks,Total Votes Cast
Williamstown,2618,945,563,12,0,2,1,0,0,0,11,0,67,4219
Wilmington,3817,3174,2886,22,7,4,1,8,0,0,0,0,38,9957
Winchendon,1439,940,907,7,5,6,2,1,0,0,0,0,115,3422
Winchester,5717,4506,2378,39,4,2,9,3,0,0,10,0,76,12744
Windsor,223,84,151,2,0,1,1,0,0,0,0,0,4,466
Winthrop,4625,2657,2109,33,6,2,5,2,0,0,30,0,84,9553
Woburn,7983,5743,4581,61,39,36,13,9,0,0,1,0,85,18551
Worcester,32326,17228,10488,115,41,39,43,16,0,0,11,0,818,61125
Worthington,301,176,186,2,2,0,1,0,0,0,1,0,1,670
Wrentham,1550,1531,4,1261,2,6,0,16,0,0,126,0,0,4496
Yarmouth,5168,4283,2890,35,14,12,7,5,0,0,7,0,441,12862
