City/Town,Dukakis/ Bentsen,Bush/ Quayle,Paul/ Marrou,Fulani/ Dattner,Dodge/ Ormsby,Kenoyer/ Ehrenreich,All Others,No Preference,Blanks,Total Votes Cast
Westwood,3115,4666,84,15,0,0,0,0,96,7976
Weymouth,13304,12727,334,64,0,0,19,0,1001,27449
Whately,483,325,2,3,0,0,2,0,17,832
Whitman,2343,3517,65,24,0,0,0,0,181,6130
Wilbraham,2961,3922,28,10,0,0,0,0,42,6963
Williamsburg,751,473,5,8,0,0,3,0,22,1262
Williamstown,2485,1355,14,10,0,0,18,0,57,3939
Wilmington,3969,4574,118,14,0,0,0,0,109,8784
Winchendon,1343,1436,29,24,0,0,0,0,141,2973
Winchester,5839,6167,125,28,0,0,0,0,131,12290
Windsor,194,195,1,2,0,0,0,0,11,403
Winthrop,5067,4360,114,29,0,0,4,0,144,9718
Woburn,8900,8112,236,62,0,0,6,0,264,17580
Worcester,34369,24355,420,178,0,0,0,0,1449,60771
Worthington,287,274,6,6,0,0,1,0,7,581
Wrentham,1563,2281,40,15,0,0,0,0,106,4005
Yarmouth,5340,6197,123,59,0,0,0,0,444,12163
