city_town,Ward,Pct,State_Rep,State_Senate,US_House,Gov_Council
Worcester,2,1,Fourteenth Worcester,First Worcester,2,Seventh
Worcester,2,2,Fourteenth Worcester,First Worcester,2,Seventh
Worcester,2,3,Fourteenth Worcester,First Worcester,2,Seventh
Worcester,2,4,Fourteenth Worcester,First Worcester,2,Seventh
Worcester,2,5,Fourteenth Worcester,First Worcester,2,Seventh
Worcester,2,6,Fourteenth Worcester,First Worcester,2,Seventh
Worcester,3,1,Fifteenth Worcester,First Worcester,2,Seventh
Worcester,3,2,Thirteenth Worcester,First Worcester,2,Seventh
Worcester,3,3,Fourteenth Worcester,First Worcester,2,Seventh
Worcester,3,4,Fifteenth Worcester,First Worcester,2,Seventh
Worcester,3,5,Fourteenth Worcester,First Worcester,2,Seventh
Worcester,3,6,Fourteenth Worcester,First Worcester,2,Seventh
Worcester,4,1,Fifteenth Worcester,Second Worcester,2,Seventh
Worcester,4,2,Fifteenth Worcester,First Worcester,2,Seventh
Worcester,4,2A,Fifteenth Worcester,Second Worcester,2,Seventh
Worcester,4,3,Fifteenth Worcester,First Worcester,2,Seventh
Worcester,4,4,Fifteenth Worcester,Second Worcester,2,Seventh
Worcester,4,5,Fifteenth Worcester,Second Worcester,2,Seventh
Worcester,4,6,Fifteenth Worcester,Second Worcester,2,Seventh
Worcester,5,1,Sixteenth Worcester,Second Worcester,2,Seventh
Worcester,5,2,Sixteenth Worcester,Second Worcester,2,Seventh
Worcester,5,3,Sixteenth Worcester,Second Worcester,2,Seventh
Worcester,5,4,Sixteenth Worcester,Second Worcester,2,Seventh
Worcester,5,5,Sixteenth Worcester,Second Worcester,2,Seventh
Worcester,5,6,Sixteenth Worcester,Second Worcester,2,Seventh
Worcester,6,1,Fifteenth Worcester,Second Worcester,2,Seventh
Worcester,6,2,Sixteenth Worcester,Second Worcester,2,Seventh
Worcester,6,3,Sixteenth Worcester,First Worcester,2,Seventh
Worcester,6,4,Sixteenth Worcester,Second Worcester,2,Seventh
Worcester,6,5,Sixteenth Worcester,Second Worcester,2,Seventh
Worcester,6,6,Sixteenth Worcester,Second Worcester,2,Seventh
Worcester,7,1,Seventeenth Worcester,First Worcester,2,Seventh
Worcester,7,2,Seventeenth Worcester,Worcester & Hampshire,2,Seventh
Worcester,7,3,Seventeenth Worcester,First Worcester,2,Seventh
Worcester,7,4,Seventeenth Worcester,Worcester & Hampshire,2,Seventh
Worcester,7,5,Seventeenth Worcester,Worcester & Hampshire,2,Seventh
Worcester,7,5A,Seventeenth Worcester,Second Worcester,2,Seventh
Worcester,7,6,Seventeenth Worcester,Worcester & Hampshire,2,Seventh
Worcester,8,1,Sixteenth Worcester,First Worcester,2,Seventh
Worcester,8,2,Seventeenth Worcester,First Worcester,2,Seventh
Worcester,8,3,Seventeenth Worcester,First Worcester,2,Seventh
Worcester,8,4,Seventeenth Worcester,First Worcester,2,Seventh
Worcester,8,5,Sixteenth Worcester,Second Worcester,2,Seventh
Worcester,8,6,Seventeenth Worcester,First Worcester,2,Seventh
Worcester,9,1,Thirteenth Worcester,First Worcester,2,Seventh
Worcester,9,2,Thirteenth Worcester,First Worcester,2,Seventh
Worcester,9,3,Thirteenth Worcester,Worcester & Hampshire,2,Seventh
Worcester,9,4,Thirteenth Worcester,Worcester & Hampshire,2,Seventh
Worcester,9,5,Thirteenth Worcester,First Worcester,2,Seventh
Worcester,9,6,Thirteenth Worcester,First Worcester,2,Seventh
Worthington,-,1,First Hampshire,"Berkshire, Hampden, Franklin & Hampshire",1,Eighth
Wrentham,-,1,Ninth Norfolk,"Norfolk, Worcester & Middlesex",4,Second
Wrentham,-,2,Ninth Norfolk,"Norfolk, Worcester & Middlesex",4,Second
Wrentham,-,3,Ninth Norfolk,"Norfolk, Worcester & Middlesex",4,Second
Wrentham,-,4,Ninth Norfolk,"Norfolk, Worcester & Middlesex",4,Second
Yarmouth,-,1,First Barnstable,Cape and Islands,9,First
Yarmouth,-,2,First Barnstable,Cape and Islands,9,First
Yarmouth,-,3,First Barnstable,Cape and Islands,9,First
Yarmouth,-,4,First Barnstable,Cape and Islands,9,First
Yarmouth,-,5,Second Barnstable,Cape and Islands,9,First
Yarmouth,-,6,Second Barnstable,Cape and Islands,9,First
Yarmouth,-,7,First Barnstable,Cape and Islands,9,First
Yarmouth,-,8,First Barnstable,Cape and Islands,9,First
Yarmouth,-,8A,Second Barnstable,Cape and Islands,9,First
