City/Town,Ward,Pct,Obama_12,Romney_12,Clinton_16,Trump_16,US_House,State_Rep,State_Sen,PVI_N,PVI
N. Brookfield,-,1,1051,1273,907,1413,2nd Congressional,5th Worcester,"Worcester, Hampden, Hampshire and Middlesex",-9.37334001504,R+9
N. Reading,-,1,928,1274,1066,1023,6th Congressional,20th Middlesex,1st Essex and Middlesex,-5.06591492345,R+5
N. Reading,-,2,1013,998,1018,920,6th Congressional,20th Middlesex,1st Essex and Middlesex,-0.104527426286,EVEN
N. Reading,-,3,1017,1148,1067,1031,6th Congressional,20th Middlesex,1st Essex and Middlesex,-2.64950818524,R+3
N. Reading,-,4,1031,1222,1132,1012,6th Congressional,20th Middlesex,1st Essex and Middlesex,-2.34263804673,R+2
Nahant,-,1,1374,898,1347,864,6th Congressional,11th Essex,3rd Essex,9.16069313882,D+9
Nantucket,-,1,3830,2187,4146,1892,9th Congressional,"Barnstable, Dukes and Nantucket",Cape and Islands,14.6281482827,D+15
Natick,-,1,940,381,974,260,5th Congressional,5th Middlesex,2nd Middlesex and Norfolk,23.3766679914,D+23
Natick,-,10,1290,947,1642,575,5th Congressional,5th Middlesex,"Norfolk, Bristol and Middlesex",14.2931994058,D+14
Natick,-,2,1126,692,1459,525,5th Congressional,5th Middlesex,2nd Middlesex and Norfolk,16.455261913,D+16
Natick,-,3,1218,732,1324,556,5th Congressional,5th Middlesex,2nd Middlesex and Norfolk,14.8354877939,D+15
Natick,-,4,1121,576,1229,441,5th Congressional,5th Middlesex,2nd Middlesex and Norfolk,18.2598004088,D+18
Natick,-,5,1149,816,1258,581,5th Congressional,5th Middlesex,2nd Middlesex and Norfolk,11.740230088,D+12
Natick,-,6,1145,719,1246,532,5th Congressional,5th Middlesex,"Norfolk, Bristol and Middlesex",14.1154719646,D+14
Natick,-,7,1251,640,1478,457,5th Congressional,5th Middlesex,"Norfolk, Bristol and Middlesex",19.7924880628,D+20
Natick,-,8,1197,612,1407,497,5th Congressional,5th Middlesex,2nd Middlesex and Norfolk,18.5966993721,D+19
Natick,-,9,1248,677,1403,446,5th Congressional,5th Middlesex,"Norfolk, Bristol and Middlesex",18.7085037987,D+19
Needham,-,A,944,597,1086,443,4th Congressional,13th Norfolk,"Norfolk, Bristol and Middlesex",14.5885091154,D+15
Needham,-,B,1017,678,1224,462,4th Congressional,13th Norfolk,"Norfolk, Bristol and Middlesex",14.7468956537,D+15
Needham,-,C,1035,749,1281,369,4th Congressional,13th Norfolk,"Norfolk, Bristol and Middlesex",15.9079455235,D+16
Needham,-,D,1061,667,1268,415,4th Congressional,13th Norfolk,Norfolk and Suffolk,16.7438276527,D+17
Needham,-,E,1099,744,1277,420,4th Congressional,13th Norfolk,Norfolk and Suffolk,15.5833746815,D+16
Needham,-,F,1176,618,1312,376,4th Congressional,13th Norfolk,Norfolk and Suffolk,19.9179184368,D+20
Needham,-,G,896,562,1336,369,4th Congressional,13th Norfolk,Norfolk and Suffolk,19.0306490456,D+19
Needham,-,H,1045,749,1285,445,4th Congressional,13th Norfolk,Norfolk and Suffolk,14.5827782868,D+15
Needham,-,I,1139,633,1396,312,4th Congressional,13th Norfolk,"Norfolk, Bristol and Middlesex",21.3095581999,D+21
Needham,-,J,1040,617,1332,408,4th Congressional,13th Norfolk,"Norfolk, Bristol and Middlesex",18.2910479526,D+18
New Ashford,-,1,107,40,101,39,1st Congressional,1st Berkshire,"Berkshire, Hampshire, Franklin and Hampden",20.9385982095,D+21
New Bedford,1,A,813,436,610,476,9th Congressional,11th Bristol,2nd Bristol and Plymouth,9.4069147679,D+9
