city_town,Ward,Pct,State Rep,State Senate,US House,Gov Council,Biden_20,Trump_20,Clinton_16,Trump_16,County
Boston,5,2,9th Suffolk,2nd Suffolk and Middlesex,7th Congressional,3rd District,972,92,882,77,Suffolk
Boston,5,10,9th Suffolk,2nd Suffolk and Middlesex,7th Congressional,3rd District,956,161,1025,175,Suffolk
Boston,8,1,9th Suffolk,2nd Suffolk,7th Congressional,4th District,841,95,706,57,Suffolk
Boston,8,2,9th Suffolk,2nd Suffolk,7th Congressional,4th District,1436,148,1396,136,Suffolk
Boston,8,3,9th Suffolk,2nd Suffolk,7th Congressional,4th District,676,64,724,26,Suffolk
Boston,8,4,9th Suffolk,2nd Suffolk,7th Congressional,4th District,416,36,404,9,Suffolk
Boston,9,1,9th Suffolk,2nd Suffolk,7th Congressional,4th District,1129,140,1158,97,Suffolk
Boston,9,2,9th Suffolk,2nd Suffolk,7th Congressional,4th District,1516,120,1129,94,Suffolk
Boston,9,3,9th Suffolk,2nd Suffolk,7th Congressional,4th District,1797,142,1914,69,Suffolk
Brookline,-,14,10th Suffolk,1st Middlesex and Norfolk,4th Congressional,3rd District,1754,317,1590,252,Norfolk
Brookline,-,15,10th Suffolk,1st Middlesex and Norfolk,4th Congressional,3rd District,1694,412,1407,390,Norfolk
Brookline,-,16,10th Suffolk,1st Middlesex and Norfolk,4th Congressional,3rd District,1466,279,1292,270,Norfolk
Brookline,-,2,15th Norfolk,1st Middlesex and Norfolk,4th Congressional,3rd District,1100,152,1070,121,Norfolk
Brookline,-,3,15th Norfolk,1st Middlesex and Norfolk,4th Congressional,3rd District,1722,185,1617,172,Norfolk
Brookline,-,4,15th Norfolk,1st Middlesex and Norfolk,4th Congressional,3rd District,1507,218,1429,221,Norfolk
Brookline,-,6,15th Norfolk,1st Middlesex and Norfolk,4th Congressional,3rd District,1848,157,1711,151,Norfolk
Brookline,-,7,15th Norfolk,1st Middlesex and Norfolk,4th Congressional,3rd District,1608,173,1470,153,Norfolk
Brookline,-,8,15th Norfolk,1st Middlesex and Norfolk,4th Congressional,3rd District,1734,116,1626,146,Norfolk
Brookline,-,9,15th Norfolk,1st Middlesex and Norfolk,4th Congressional,3rd District,1724,199,1551,159,Norfolk
Brookline,-,10,15th Norfolk,1st Middlesex and Norfolk,4th Congressional,3rd District,1738,207,1538,191,Norfolk
Brookline,-,11,15th Norfolk,1st Middlesex and Norfolk,4th Congressional,3rd District,1851,203,1634,183,Norfolk
Brookline,-,12,15th Norfolk,1st Middlesex and Norfolk,4th Congressional,3rd District,2077,239,1868,204,Norfolk
Brookline,-,13,15th Norfolk,1st Middlesex and Norfolk,4th Congressional,3rd District,1789,216,1622,184,Norfolk
Brookline,-,5,15th Suffolk,1st Middlesex and Norfolk,4th Congressional,3rd District,1869,192,1640,205,Norfolk
Brookline,-,1,18th Suffolk,1st Middlesex and Norfolk,4th Congressional,3rd District,1669,153,1518,173,Norfolk
Hopedale,-,1,10th Worcester,Worcester and Norfolk,4th Congressional,7th District,2285,1385,1759,1375,Worcester
Mendon,-,1,10th Worcester,Worcester and Norfolk,2nd Congressional,7th District,2067,1774,1530,1694,Worcester
Milford,-,1,10th Worcester,Worcester and Norfolk,4th Congressional,7th District,692,427,611,432,Worcester
Milford,-,2,10th Worcester,Worcester and Norfolk,4th Congressional,7th District,1016,655,908,600,Worcester
Milford,-,3,10th Worcester,Worcester and Norfolk,4th Congressional,7th District,1030,746,849,671,Worcester
Milford,-,4,10th Worcester,Worcester and Norfolk,4th Congressional,7th District,774,520,778,465,Worcester
Milford,-,5,10th Worcester,Worcester and Norfolk,4th Congressional,7th District,1479,955,1131,887,Worcester
Milford,-,6,10th Worcester,Worcester and Norfolk,4th Congressional,7th District,1132,674,960,648,Worcester
Milford,-,7,10th Worcester,Worcester and Norfolk,4th Congressional,7th District,1294,869,1074,811,Worcester
Milford,-,8,10th Worcester,Worcester and Norfolk,4th Congressional,7th District,1283,698,1059,723,Worcester
Acushnet,-,1,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,815,924,783,786,Bristol
Acushnet,-,2,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,932,1176,756,1043,Bristol
Acushnet,-,3,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,917,1190,862,1005,Bristol
Nahant,-,1,11th Essex,3rd Essex,6th Congressional,6th District,1629,842,1347,864,Essex
Dedham,-,1,11th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1762,489,1501,465,Norfolk
Dedham,-,2,11th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1522,698,1205,695,Norfolk
Dedham,-,3,11th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1423,608,1139,614,Norfolk
Dedham,-,4,11th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1502,639,1212,652,Norfolk
Dedham,-,5,11th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1525,795,1151,818,Norfolk
Dedham,-,6,11th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1652,719,1306,701,Norfolk
Dedham,-,7,11th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1374,823,1107,833,Norfolk
Walpole,-,8,11th Norfolk,Bristol and Norfolk,8th Congressional,2nd District,1155,828,846,823,Norfolk
Walpole,-,1,12th Norfolk,Bristol and Norfolk,8th Congressional,2nd District,1219,690,938,694,Norfolk
Walpole,-,2,12th Norfolk,Bristol and Norfolk,8th Congressional,2nd District,1231,909,936,831,Norfolk
Walpole,-,6,12th Norfolk,Bristol and Norfolk,8th Congressional,2nd District,1236,794,972,788,Norfolk
Walpole,-,7,12th Norfolk,Bristol and Norfolk,8th Congressional,2nd District,1173,838,907,809,Norfolk
Walpole,-,3,8th Norfolk,Bristol and Norfolk,8th Congressional,2nd District,1249,824,957,808,Norfolk
Walpole,-,4,8th Norfolk,Bristol and Norfolk,8th Congressional,2nd District,1228,653,936,610,Norfolk
Walpole,-,5,9th Norfolk,Bristol and Norfolk,8th Congressional,2nd District,983,707,778,683,Norfolk
Westwood,-,1,11th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1734,798,1410,789,Norfolk
Westwood,-,2,11th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1802,846,1400,809,Norfolk
Westwood,-,3,11th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1750,780,1381,731,Norfolk
Westwood,-,4,11th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1546,1020,1128,889,Norfolk
Easton,-,1,11th Plymouth,2nd Plymouth and Bristol,4th Congressional,4th District,836,512,640,505,Bristol
Easton,-,2,11th Plymouth,2nd Plymouth and Bristol,4th Congressional,4th District,1651,996,1272,944,Bristol
Easton,-,3,11th Plymouth,"Norfolk, Bristol and Plymouth",4th Congressional,2nd District,1400,925,1042,898,Bristol
Easton,-,4,11th Plymouth,"Norfolk, Bristol and Plymouth",4th Congressional,2nd District,1578,925,1204,940,Bristol
Easton,-,5,11th Plymouth,"Norfolk, Bristol and Plymouth",4th Congressional,2nd District,1810,1052,1334,953,Bristol
Easton,-,6,3rd Bristol,"Norfolk, Bristol and Plymouth",4th Congressional,2nd District,1440,1057,1064,991,Bristol
Shrewsbury,-,1,11th Worcester,2nd Worcester,2nd Congressional,7th District,1528,902,1214,885,Worcester
Shrewsbury,-,2,11th Worcester,2nd Worcester,2nd Congressional,7th District,1348,732,967,639,Worcester
Shrewsbury,-,3,11th Worcester,2nd Worcester,2nd Congressional,7th District,1021,640,838,586,Worcester
Shrewsbury,-,4,11th Worcester,2nd Worcester,2nd Congressional,7th District,1315,783,1007,702,Worcester
Shrewsbury,-,5,11th Worcester,2nd Worcester,2nd Congressional,7th District,1243,505,999,532,Worcester
Shrewsbury,-,6,11th Worcester,2nd Worcester,2nd Congressional,7th District,1413,711,1131,692,Worcester
Shrewsbury,-,7,11th Worcester,2nd Worcester,2nd Congressional,7th District,1660,873,1234,860,Worcester
Shrewsbury,-,8,11th Worcester,2nd Worcester,2nd Congressional,7th District,1617,797,1262,808,Worcester
Shrewsbury,-,9,11th Worcester,2nd Worcester,2nd Congressional,7th District,1044,449,875,454,Worcester
Shrewsbury,-,10,11th Worcester,2nd Worcester,2nd Congressional,7th District,1401,666,1093,650,Worcester
Westborough,-,4,11th Worcester,Middlesex and Worcester,2nd Congressional,3rd District,1946,726,1517,676,Worcester
Westborough,-,5,11th Worcester,Middlesex and Worcester,2nd Congressional,3rd District,1798,694,1423,717,Worcester
Westborough,-,1,4th Middlesex,Middlesex and Worcester,2nd Congressional,3rd District,1142,388,852,399,Worcester
Westborough,-,3,4th Middlesex,Middlesex and Worcester,2nd Congressional,3rd District,1472,549,1257,523,Worcester
Westborough,-,2,8th Middlesex,Middlesex and Worcester,2nd Congressional,3rd District,1211,419,974,437,Worcester
Berkley,-,1,12th Bristol,1st Plymouth and Bristol,4th Congressional,1st District,977,1178,793,1003,Bristol
Berkley,-,2,12th Bristol,1st Plymouth and Bristol,4th Congressional,1st District,787,1073,662,923,Bristol
Lakeville,-,1,12th Bristol,1st Bristol and Plymouth,4th Congressional,1st District,1019,1204,783,1037,Plymouth
Lakeville,-,2,12th Bristol,1st Bristol and Plymouth,4th Congressional,1st District,1018,1255,774,1158,Plymouth
Lakeville,-,3,12th Bristol,1st Bristol and Plymouth,4th Congressional,1st District,1299,1319,909,1179,Plymouth
Middleborough,-,2,12th Bristol,1st Plymouth and Bristol,9th Congressional,1st District,1104,984,767,857,Plymouth
Middleborough,-,4,12th Bristol,1st Plymouth and Bristol,9th Congressional,1st District,907,931,692,818,Plymouth
Middleborough,-,5,12th Bristol,1st Plymouth and Bristol,9th Congressional,1st District,1048,1392,783,1243,Plymouth
Middleborough,-,1,12th Plymouth,1st Plymouth and Bristol,9th Congressional,1st District,1348,1444,1049,1417,Plymouth
Middleborough,-,3,2nd Plymouth,1st Plymouth and Bristol,9th Congressional,1st District,1016,1259,860,1236,Plymouth
Middleborough,-,6,2nd Plymouth,1st Plymouth and Bristol,9th Congressional,1st District,901,1154,686,1012,Plymouth
Taunton,3,B,12th Bristol,1st Plymouth and Bristol,4th Congressional,1st District,1080,839,929,737,Bristol
Taunton,4,A,12th Bristol,1st Plymouth and Bristol,4th Congressional,1st District,966,917,736,833,Bristol
Taunton,4,B,12th Bristol,1st Plymouth and Bristol,4th Congressional,1st District,921,713,777,652,Bristol
Taunton,1,A,3rd Bristol,1st Plymouth and Bristol,4th Congressional,1st District,874,521,720,495,Bristol
Taunton,1,B,3rd Bristol,1st Plymouth and Bristol,4th Congressional,1st District,999,893,798,793,Bristol
Taunton,2,A,3rd Bristol,1st Plymouth and Bristol,4th Congressional,1st District,765,328,624,289,Bristol
Taunton,2,B,3rd Bristol,1st Plymouth and Bristol,4th Congressional,1st District,823,450,699,431,Bristol
Taunton,3,A,3rd Bristol,1st Plymouth and Bristol,4th Congressional,1st District,919,596,785,521,Bristol
Taunton,5,A,3rd Bristol,1st Plymouth and Bristol,4th Congressional,1st District,877,520,705,458,Bristol
Taunton,5,B,3rd Bristol,1st Plymouth and Bristol,4th Congressional,1st District,835,502,694,393,Bristol
Taunton,7,A,3rd Bristol,1st Plymouth and Bristol,4th Congressional,1st District,1013,808,876,733,Bristol
Taunton,7,B,3rd Bristol,1st Plymouth and Bristol,4th Congressional,1st District,1043,1048,817,922,Bristol
Taunton,8,A,3rd Bristol,1st Plymouth and Bristol,4th Congressional,1st District,1073,880,856,836,Bristol
Taunton,8,B,3rd Bristol,1st Plymouth and Bristol,4th Congressional,1st District,1139,949,907,882,Bristol
Taunton,6,A,5th Bristol,1st Plymouth and Bristol,4th Congressional,1st District,695,488,582,414,Bristol
Taunton,6,B,5th Bristol,1st Plymouth and Bristol,4th Congressional,1st District,974,696,860,584,Bristol
Peabody,1,1,12th Essex,2nd Essex,6th Congressional,5th District,1020,672,847,644,Essex
Peabody,1,2,12th Essex,2nd Essex,6th Congressional,5th District,994,834,841,860,Essex
Peabody,1,3,12th Essex,2nd Essex,6th Congressional,5th District,1108,954,838,846,Essex
Peabody,2,1,12th Essex,2nd Essex,6th Congressional,5th District,893,380,765,333,Essex
Peabody,2,2,12th Essex,2nd Essex,6th Congressional,5th District,799,408,729,368,Essex
Peabody,2,3,12th Essex,2nd Essex,6th Congressional,5th District,859,611,696,630,Essex
Peabody,3,1,12th Essex,2nd Essex,6th Congressional,5th District,679,352,670,288,Essex
Peabody,3,2,12th Essex,2nd Essex,6th Congressional,5th District,799,521,759,458,Essex
Peabody,3,3,12th Essex,2nd Essex,6th Congressional,5th District,881,636,806,580,Essex
Peabody,4,1,12th Essex,2nd Essex,6th Congressional,5th District,963,654,771,632,Essex
Peabody,4,2,12th Essex,2nd Essex,6th Congressional,5th District,913,643,791,599,Essex
Peabody,4,3,12th Essex,2nd Essex,6th Congressional,5th District,516,396,455,372,Essex
Peabody,4,3A,12th Essex,2nd Essex,6th Congressional,5th District,1069,344,924,410,Essex
Peabody,5,1,12th Essex,2nd Essex,6th Congressional,5th District,994,867,834,848,Essex
Peabody,5,3,12th Essex,2nd Essex,6th Congressional,5th District,948,764,784,712,Essex
Peabody,5,2,13th Essex,2nd Essex,6th Congressional,5th District,733,748,673,692,Essex
Peabody,6,1,13th Essex,2nd Essex,6th Congressional,5th District,893,1002,756,928,Essex
Peabody,6,2,13th Essex,2nd Essex,6th Congressional,5th District,908,969,734,908,Essex
Peabody,6,3,13th Essex,2nd Essex,6th Congressional,5th District,891,949,722,928,Essex
E. Longmeadow,-,1,12th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,1420,1122,1057,1091,Hampden
E. Longmeadow,-,2,2nd Hampden,1st Hampden and Hampshire,1st Congressional,8th District,1274,1025,1008,1034,Hampden
E. Longmeadow,-,3,2nd Hampden,1st Hampden and Hampshire,1st Congressional,8th District,1330,1180,1017,1105,Hampden
E. Longmeadow,-,4,2nd Hampden,1st Hampden and Hampshire,1st Congressional,8th District,1271,1296,1007,1211,Hampden
Wilbraham,-,A,12th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,1300,1056,982,999,Hampden
Wilbraham,-,B,12th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,1247,998,955,929,Hampden
Wilbraham,-,C,12th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,1139,1119,863,1029,Hampden
Wilbraham,-,D,12th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,1242,1089,944,1053,Hampden
Norwood,-,1,12th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1446,728,1081,701,Norfolk
Norwood,-,2,12th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1267,592,1003,625,Norfolk
Norwood,-,3,12th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1318,627,1049,620,Norfolk
Norwood,-,4,12th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1349,728,1115,721,Norfolk
Norwood,-,5,12th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1105,407,893,403,Norfolk
Norwood,-,6,12th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,953,525,821,513,Norfolk
Norwood,-,7,12th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1268,701,905,660,Norfolk
Norwood,-,8,12th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1301,697,1116,651,Norfolk
Norwood,-,9,12th Norfolk,Norfolk and Suffolk,8th Congressional,2nd District,1205,819,1017,798,Norfolk
Duxbury,-,1,12th Plymouth,Plymouth and Norfolk,9th Congressional,4th District,1326,753,968,697,Plymouth
Duxbury,-,2,6th Plymouth,Plymouth and Norfolk,9th Congressional,4th District,1217,680,883,668,Plymouth
Duxbury,-,3,6th Plymouth,Plymouth and Norfolk,9th Congressional,4th District,1168,659,828,576,Plymouth
Duxbury,-,4,6th Plymouth,Plymouth and Norfolk,9th Congressional,4th District,1122,625,853,631,Plymouth
Duxbury,-,5,6th Plymouth,Plymouth and Norfolk,9th Congressional,4th District,1054,714,826,697,Plymouth
Duxbury,-,6,6th Plymouth,Plymouth and Norfolk,9th Congressional,4th District,1023,601,779,619,Plymouth
Halifax,-,1,12th Plymouth,2nd Plymouth and Bristol,9th Congressional,4th District,1166,1305,883,1252,Plymouth
Halifax,-,2,12th Plymouth,2nd Plymouth and Bristol,9th Congressional,4th District,1188,1093,911,1060,Plymouth
Kingston,-,1,12th Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1142,809,849,792,Plymouth
Kingston,-,2,12th Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1174,1083,921,992,Plymouth
Kingston,-,3,12th Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1193,1063,897,985,Plymouth
Kingston,-,4,12th Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1013,820,804,810,Plymouth
Plymouth,-,1,12th Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1162,674,839,643,Plymouth
Plymouth,-,11,12th Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1329,1086,1126,1111,Plymouth
Plymouth,-,13,12th Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1436,1099,1017,982,Plymouth
Plymouth,-,2,1st Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1530,935,1040,879,Plymouth
Plymouth,-,3,1st Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1278,692,981,635,Plymouth
Plymouth,-,4,1st Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1308,814,1064,769,Plymouth
Plymouth,-,5,1st Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1323,1059,1042,1073,Plymouth
Plymouth,-,6,1st Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1431,874,1102,944,Plymouth
Plymouth,-,7,1st Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1312,1008,1005,953,Plymouth
Plymouth,-,8,1st Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1378,1118,1045,1052,Plymouth
Plymouth,-,10,1st Plymouth,Plymouth and Barnstable,9th Congressional,1st District,888,700,677,661,Plymouth
Plymouth,-,12,1st Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1562,1185,963,1048,Plymouth
Plymouth,-,14,1st Plymouth,Plymouth and Barnstable,9th Congressional,1st District,1236,1177,887,1069,Plymouth
Plymouth,-,15,1st Plymouth,Plymouth and Barnstable,9th Congressional,1st District,3032,1769,2050,1587,Plymouth
Plymouth,-,9,5th Barnstable,Plymouth and Barnstable,9th Congressional,1st District,1061,962,764,903,Plymouth
Plympton,-,1,12th Plymouth,2nd Plymouth and Bristol,9th Congressional,4th District,962,912,727,883,Plymouth
Milton,-,1,12th Suffolk,"Norfolk, Bristol and Plymouth",7th Congressional,2nd District,1516,254,1303,211,Norfolk
Milton,-,2,12th Suffolk,"Norfolk, Bristol and Plymouth",8th Congressional,2nd District,1551,261,1376,235,Norfolk
Milton,-,3,7th Norfolk,"Norfolk, Bristol and Plymouth",8th Congressional,2nd District,1444,444,1230,446,Norfolk
Milton,-,4,7th Norfolk,"Norfolk, Bristol and Plymouth",8th Congressional,2nd District,1460,354,1224,349,Norfolk
Milton,-,5,7th Norfolk,"Norfolk, Bristol and Plymouth",7th Congressional,2nd District,1132,353,897,330,Norfolk
Milton,-,6,7th Norfolk,"Norfolk, Bristol and Plymouth",8th Congressional,2nd District,1213,643,1009,636,Norfolk
Milton,-,7,7th Norfolk,"Norfolk, Bristol and Plymouth",8th Congressional,2nd District,1083,562,907,556,Norfolk
Milton,-,8,7th Norfolk,"Norfolk, Bristol and Plymouth",8th Congressional,2nd District,1197,654,966,637,Norfolk
Milton,-,9,7th Norfolk,"Norfolk, Bristol and Plymouth",8th Congressional,2nd District,1212,735,873,697,Norfolk
Milton,-,10,7th Norfolk,"Norfolk, Bristol and Plymouth",7th Congressional,2nd District,1054,181,967,189,Norfolk
Berlin,-,1,12th Worcester,Worcester and Middlesex,3rd Congressional,7th District,1375,816,1009,745,Worcester
Boylston,-,1,12th Worcester,1st Worcester,2nd Congressional,7th District,1877,1318,1424,1125,Worcester
Clinton,-,1,12th Worcester,Worcester and Middlesex,3rd Congressional,7th District,1287,717,1021,687,Worcester
Clinton,-,2,12th Worcester,Worcester and Middlesex,3rd Congressional,7th District,1145,666,921,659,Worcester
Clinton,-,3,12th Worcester,1st Worcester,3rd Congressional,7th District,1197,757,930,718,Worcester
Clinton,-,4,12th Worcester,1st Worcester,3rd Congressional,7th District,1059,746,895,684,Worcester
Lancaster,-,1,12th Worcester,Worcester and Middlesex,3rd Congressional,7th District,1154,865,883,801,Worcester
Lancaster,-,2,12th Worcester,Worcester and Middlesex,3rd Congressional,7th District,1304,897,967,850,Worcester
Northborough,-,2,12th Worcester,1st Worcester,2nd Congressional,7th District,1577,701,1196,714,Worcester
Northborough,-,4,12th Worcester,1st Worcester,2nd Congressional,7th District,1618,782,1280,778,Worcester
Northborough,-,1,4th Middlesex,1st Worcester,2nd Congressional,7th District,1643,728,1335,751,Worcester
Northborough,-,3,4th Middlesex,Middlesex and Worcester,2nd Congressional,3rd District,1638,702,1319,721,Worcester
Sterling,-,2,12th Worcester,Worcester and Middlesex,2nd Congressional,7th District,1463,1270,1081,1244,Worcester
Sterling,-,1,1st Worcester,Worcester and Middlesex,2nd Congressional,7th District,1378,1174,1081,1083,Worcester
Danvers,-,1,13th Essex,2nd Essex,6th Congressional,5th District,1339,759,1069,731,Essex
Danvers,-,2,13th Essex,2nd Essex,6th Congressional,5th District,1256,796,1033,815,Essex
Danvers,-,3,13th Essex,2nd Essex,6th Congressional,5th District,1060,736,860,741,Essex
Danvers,-,4,13th Essex,2nd Essex,6th Congressional,5th District,1328,766,997,774,Essex
Danvers,-,5,13th Essex,2nd Essex,6th Congressional,5th District,1266,948,984,895,Essex
Danvers,-,6,13th Essex,2nd Essex,6th Congressional,5th District,1169,964,958,910,Essex
Danvers,-,7,13th Essex,2nd Essex,6th Congressional,5th District,1277,860,952,810,Essex
Danvers,-,8,13th Essex,2nd Essex,6th Congressional,5th District,1138,896,899,808,Essex
Middleton,-,2,13th Essex,1st Essex and Middlesex,6th Congressional,5th District,1359,1567,1090,1348,Essex
Middleton,-,1,20th Middlesex,1st Essex and Middlesex,6th Congressional,5th District,1405,1399,1069,1315,Essex
Framingham,-,3,13th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,1588,503,1354,474,Middlesex
Framingham,-,1,6th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,1793,668,1551,631,Middlesex
Framingham,-,2,6th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,2170,720,1702,686,Middlesex
Framingham,-,4,6th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,1882,572,1527,580,Middlesex
Framingham,-,5,6th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,1684,623,1426,591,Middlesex
Framingham,-,6,6th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,1656,614,1418,620,Middlesex
Framingham,-,7,6th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,1619,525,1324,489,Middlesex
Framingham,-,9,6th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,1153,385,1033,318,Middlesex
Framingham,-,10,6th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,999,270,860,253,Middlesex
Framingham,-,11,6th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,1859,608,1547,607,Middlesex
Framingham,-,12,6th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,849,279,798,265,Middlesex
Framingham,-,15,6th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,918,292,830,215,Middlesex
Framingham,-,8,7th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,1594,471,1406,421,Middlesex
Framingham,-,13,7th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,1131,368,1033,327,Middlesex
Framingham,-,14,7th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,857,240,810,182,Middlesex
Framingham,-,16,7th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,517,171,533,113,Middlesex
Framingham,-,17,7th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,567,131,633,58,Middlesex
Framingham,-,18,7th Middlesex,2nd Middlesex and Norfolk,5th Congressional,2nd District,786,272,735,233,Middlesex
Marlborough,1,1,13th Middlesex,Middlesex and Worcester,3rd Congressional,3rd District,866,380,761,352,Middlesex
Marlborough,1,2,13th Middlesex,Middlesex and Worcester,3rd Congressional,3rd District,1229,573,994,563,Middlesex
Marlborough,2,2,13th Middlesex,Middlesex and Worcester,3rd Congressional,3rd District,878,374,772,391,Middlesex
Marlborough,7,1,13th Middlesex,Middlesex and Worcester,3rd Congressional,3rd District,845,430,701,406,Middlesex
Marlborough,2,1,4th Middlesex,Middlesex and Worcester,3rd Congressional,3rd District,962,508,813,492,Middlesex
Marlborough,3,1,4th Middlesex,Middlesex and Worcester,3rd Congressional,3rd District,679,339,589,309,Middlesex
Marlborough,3,2,4th Middlesex,Middlesex and Worcester,3rd Congressional,3rd District,1305,568,1004,562,Middlesex
Marlborough,4,1,4th Middlesex,Middlesex and Worcester,3rd Congressional,3rd District,565,306,473,275,Middlesex
Marlborough,4,2,4th Middlesex,Middlesex and Worcester,3rd Congressional,3rd District,1062,535,872,554,Middlesex
Marlborough,5,1,4th Middlesex,Middlesex and Worcester,3rd Congressional,3rd District,640,292,598,266,Middlesex
Marlborough,5,2,4th Middlesex,Middlesex and Worcester,3rd Congressional,3rd District,1018,466,822,457,Middlesex
Marlborough,6,1,4th Middlesex,Middlesex and Worcester,3rd Congressional,3rd District,703,347,646,318,Middlesex
Marlborough,6,2,4th Middlesex,Middlesex and Worcester,3rd Congressional,3rd District,1060,601,865,608,Middlesex
Marlborough,7,2,4th Middlesex,Middlesex and Worcester,3rd Congressional,3rd District,798,381,667,406,Middlesex
Sudbury,-,1,13th Middlesex,3rd Middlesex,3rd Congressional,3rd District,1405,373,1111,396,Middlesex
Sudbury,-,1A,13th Middlesex,3rd Middlesex,5th Congressional,3rd District,507,134,381,144,Middlesex
Sudbury,-,2,13th Middlesex,Middlesex and Worcester,5th Congressional,3rd District,1726,498,1364,461,Middlesex
Sudbury,-,3,13th Middlesex,Middlesex and Worcester,5th Congressional,3rd District,2034,659,1527,578,Middlesex
Sudbury,-,4,13th Middlesex,3rd Middlesex,5th Congressional,3rd District,1958,515,1574,444,Middlesex
Sudbury,-,5,13th Middlesex,3rd Middlesex,5th Congressional,3rd District,1715,512,1445,487,Middlesex
Wayland,-,1,13th Middlesex,"Norfolk, Bristol and Middlesex",5th Congressional,2nd District,1865,410,1626,418,Middlesex
Wayland,-,2,13th Middlesex,"Norfolk, Bristol and Middlesex",5th Congressional,2nd District,1777,432,1436,432,Middlesex
Wayland,-,3,13th Middlesex,"Norfolk, Bristol and Middlesex",5th Congressional,2nd District,1678,390,1471,382,Middlesex
Wayland,-,4,14th Norfolk,"Norfolk, Bristol and Middlesex",5th Congressional,2nd District,2024,473,1581,452,Middlesex
Dover,-,1,13th Norfolk,Norfolk and Suffolk,4th Congressional,2nd District,2761,1142,2063,1137,Norfolk
Medfield,-,1,13th Norfolk,Bristol and Norfolk,4th Congressional,2nd District,1486,625,1130,603,Norfolk
Medfield,-,2,13th Norfolk,Bristol and Norfolk,4th Congressional,2nd District,1471,541,1109,597,Norfolk
Medfield,-,3,9th Norfolk,Bristol and Norfolk,4th Congressional,2nd District,1405,625,1141,581,Norfolk
Medfield,-,4,9th Norfolk,Bristol and Norfolk,4th Congressional,2nd District,1306,583,1029,619,Norfolk
